guid/image	labels	scores	boxes
/rob535-fall2021-final-project-data//est/	[2, 0, 36, 0, 0]	[0.18077236413955688, 0.04019919037818909, 0.03824871778488159, 0.031023621559143066, 0.029596954584121704]	[[0.3956090211868286, 0.45345839858055115, 0.4129685163497925, 0.46782031655311584], [0.13517051935195923, 0.17480307817459106, 0.8687047362327576, 0.8985509276390076], [0.09606090933084488, 0.5260992050170898, 0.10789962857961655, 0.5331140756607056], [0.004137382842600346, 0.8752405643463135, 0.02955532819032669, 0.9040851593017578], [0.06857652962207794, 0.038709063082933426, 0.468483567237854, 0.11543187499046326]]
/rob535-fall2021-final-project-data//est/	[2, 6, 0, 0, 2]	[0.7055935859680176, 0.4119023382663727, 0.17087894678115845, 0.13840901851654053, 0.09669631719589233]	[[0.3118512034416199, 0.44019773602485657, 0.5759981870651245, 0.6541551947593689], [0.3118512034416199, 0.44019773602485657, 0.5759981870651245, 0.6541551947593689], [0.34792083501815796, 0.5451123118400574, 0.3859046697616577, 0.5738702416419983], [0.3551786243915558, 0.5326136350631714, 0.4043045938014984, 0.574866533279419], [0.43051233887672424, 0.6570146679878235, 0.4560713469982147, 0.6802344918251038]]
/rob535-fall2021-final-project-data//est/	[2, 7, 14, 2, 0]	[0.487338662147522, 0.1253245770931244, 0.07656237483024597, 0.06574869155883789, 0.06355917453765869]	[[0.3160349726676941, 0.40293121337890625, 0.5549795031547546, 0.545417845249176], [0.3149223029613495, 0.4003360867500305, 0.5537729263305664, 0.5432130694389343], [0.4759085774421692, 0.7500764727592468, 0.6303076148033142, 0.9935432076454163], [0.403185099363327, 0.605134904384613, 0.42797139286994934, 0.6343380808830261], [0.35033780336380005, 0.4539908766746521, 0.3804081678390503, 0.47889095544815063]]
/rob535-fall2021-final-project-data//est/	[2, 6, 0, 0, 0]	[0.8377975225448608, 0.6533377766609192, 0.11139264702796936, 0.10152766108512878, 0.09384605288505554]	[[0.3222541809082031, 0.5220142006874084, 0.5744867920875549, 0.7011284232139587], [0.3141688406467438, 0.5234396457672119, 0.5732547044754028, 0.6967190504074097], [0.3428719639778137, 0.6516760587692261, 0.3757273554801941, 0.674670934677124], [0.360319584608078, 0.5943443775177002, 0.40056660771369934, 0.6342118978500366], [0.34509941935539246, 0.6070921421051025, 0.38248053193092346, 0.6358368396759033]]
/rob535-fall2021-final-project-data//est/	[2, 7, 0, 37, 14]	[0.8501209020614624, 0.2497633993625641, 0.20547142624855042, 0.12332624197006226, 0.11682698130607605]	[[0.31443893909454346, 0.48338207602500916, 0.5814209580421448, 0.6565340757369995], [0.31443893909454346, 0.48338207602500916, 0.5814209580421448, 0.6565340757369995], [0.35551267862319946, 0.5513610243797302, 0.404055655002594, 0.5890715718269348], [0.08099792897701263, 0.5366197228431702, 0.10392554104328156, 0.5670472979545593], [0.529348611831665, 0.8644810914993286, 0.5889915227890015, 0.9731192588806152]]
/rob535-fall2021-final-project-data//est/	[2, 84, 0, 0, 7]	[0.8922922611236572, 0.1500413715839386, 0.12712672352790833, 0.08483558893203735, 0.0694487988948822]	[[0.31083688139915466, 0.5187821388244629, 0.5775431394577026, 0.6976567506790161], [0.2427685260772705, 0.9160070419311523, 0.3333950638771057, 0.9690206050872803], [0.36169660091400146, 0.6025245189666748, 0.39962732791900635, 0.6292810440063477], [0.34816455841064453, 0.5995846390724182, 0.38161665201187134, 0.6278405785560608], [0.3058772683143616, 0.5234608054161072, 0.5754547119140625, 0.6904354691505432]]
/rob535-fall2021-final-project-data//est/	[2, 0, 2, 2, 7]	[0.8543692231178284, 0.3438856601715088, 0.22603851556777954, 0.17797118425369263, 0.17449694871902466]	[[0.2786372900009155, 0.40040668845176697, 0.6018469929695129, 0.6318081617355347], [0.3805033564567566, 0.6720812916755676, 0.4325326681137085, 0.6907548308372498], [0.31844502687454224, 0.18377499282360077, 0.570904552936554, 0.6102161407470703], [0.3576427698135376, 0.2977863848209381, 0.3721752166748047, 0.30841395258903503], [0.2786372900009155, 0.40040668845176697, 0.6018469929695129, 0.6318081617355347]]
/rob535-fall2021-final-project-data//est/	[2, 7, 0, 5, 0]	[0.7971909046173096, 0.3225381672382355, 0.24592816829681396, 0.2318587303161621, 0.10857778787612915]	[[0.3210482895374298, 0.49487000703811646, 0.5968582630157471, 0.6848800778388977], [0.31845805048942566, 0.49424877762794495, 0.587209939956665, 0.6865494847297668], [0.36592230200767517, 0.6021412014961243, 0.4019031226634979, 0.6253508925437927], [0.31845805048942566, 0.49424877762794495, 0.587209939956665, 0.6865494847297668], [0.3714400827884674, 0.5637218356132507, 0.40812429785728455, 0.5832157731056213]]
/rob535-fall2021-final-project-data//est/	[2, 7, 2, 2, 14]	[0.8937767744064331, 0.06818065047264099, 0.04358643293380737, 0.03595775365829468, 0.03583911061286926]	[[0.4093472361564636, 0.33563095331192017, 0.47151845693588257, 0.4228156805038452], [0.4093472361564636, 0.33563095331192017, 0.47151845693588257, 0.4228156805038452], [0.41396522521972656, 0.3765653073787689, 0.43532854318618774, 0.40764322876930237], [0.4166671335697174, 0.4720982313156128, 0.4286119043827057, 0.4822311997413635], [0.12186664342880249, 0.4128580093383789, 0.9728582501411438, 0.9996556043624878]]
/rob535-fall2021-final-project-data//est/	[6, 2, 6, 6, 2]	[0.09382966160774231, 0.07535618543624878, 0.061035484075546265, 0.057512879371643066, 0.0574454665184021]	[[0.3802609443664551, 0.4963459074497223, 0.5044211745262146, 0.861966609954834], [0.41953325271606445, 0.6458297967910767, 0.4310343265533447, 0.6712791919708252], [0.35469529032707214, 0.11825084686279297, 0.6063618659973145, 0.9700731039047241], [0.3519827127456665, 0.3963971436023712, 0.5609206557273865, 0.9713969230651855], [0.4118850529193878, 0.6041310429573059, 0.4258926212787628, 0.623079240322113]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 0, 0]	[0.8795735836029053, 0.1914910078048706, 0.11562910676002502, 0.10312911868095398, 0.08699563145637512]	[[0.344078928232193, 0.5222254395484924, 0.6071312427520752, 0.7257615923881531], [0.37813806533813477, 0.6000080108642578, 0.41174858808517456, 0.6337007284164429], [0.4331229031085968, 0.6006942391395569, 0.4664856493473053, 0.6346905827522278], [0.4271818697452545, 0.6613882184028625, 0.46918395161628723, 0.6951555609703064], [0.37639573216438293, 0.6537092924118042, 0.4173828065395355, 0.6862798929214478]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 0, 0]	[0.9287904500961304, 0.2662000060081482, 0.19819986820220947, 0.19500872492790222, 0.11435198783874512]	[[0.2900504469871521, 0.40465813875198364, 0.6438916921615601, 0.6514937281608582], [0.3567747473716736, 0.4955955743789673, 0.4011145830154419, 0.5283777713775635], [0.3996279239654541, 0.7295880317687988, 0.49242550134658813, 0.7667485475540161], [0.35342246294021606, 0.5384699702262878, 0.40595459938049316, 0.5739156603813171], [0.40226811170578003, 0.42176246643066406, 0.5057969093322754, 0.46069246530532837]]
/rob535-fall2021-final-project-data//est/	[2, 2, 2, 14, 2]	[0.25873905420303345, 0.19477906823158264, 0.13104906678199768, 0.105478435754776, 0.09743520617485046]	[[0.4078657329082489, 0.5634821653366089, 0.4241636097431183, 0.5822521448135376], [0.3977721631526947, 0.44561073184013367, 0.41680505871772766, 0.4675280749797821], [0.40889304876327515, 0.5064762234687805, 0.42365163564682007, 0.5236383080482483], [0.4721614122390747, 0.7121356725692749, 0.6325407028198242, 0.9988397359848022], [0.43629682064056396, 0.6127989292144775, 0.4528365731239319, 0.6257913112640381]]
/rob535-fall2021-final-project-data//est/	[2, 2, 7, 2, 0]	[0.9444596767425537, 0.2954789698123932, 0.29303234815597534, 0.2353174090385437, 0.22678041458129883]	[[0.27765387296676636, 0.5322980880737305, 0.6096905469894409, 0.766521692276001], [0.4076458215713501, 0.3895571827888489, 0.4289056658744812, 0.4145991802215576], [0.28501683473587036, 0.5328457355499268, 0.6172958016395569, 0.7679132223129272], [0.3902694284915924, 0.45236819982528687, 0.40827086567878723, 0.47122347354888916], [0.3397381603717804, 0.6581781506538391, 0.3775095045566559, 0.6857672333717346]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 0, 0]	[0.9717669486999512, 0.4581618309020996, 0.21684348583221436, 0.08958080410957336, 0.08628684282302856]	[[0.28396686911582947, 0.4752289056777954, 0.6101765632629395, 0.6957846879959106], [0.32583004236221313, 0.5886250138282776, 0.3787252902984619, 0.628171980381012], [0.338828444480896, 0.5602889060974121, 0.37979280948638916, 0.5919245481491089], [0.35393548011779785, 0.5830339193344116, 0.4209355115890503, 0.6225122213363647], [0.3416317403316498, 0.48733726143836975, 0.3822952210903168, 0.5081469416618347]]
/rob535-fall2021-final-project-data//est/	[2, 7, 0, 0, 0]	[0.8549994230270386, 0.3252418637275696, 0.1736477017402649, 0.08807513117790222, 0.07700672745704651]	[[0.30615562200546265, 0.5779289603233337, 0.6085678935050964, 0.7890647053718567], [0.3059185743331909, 0.562741756439209, 0.6058413982391357, 0.7763634920120239], [0.3644667863845825, 0.6539688110351562, 0.400844931602478, 0.6841869354248047], [0.3257278501987457, 0.71601402759552, 0.3681836426258087, 0.7399855852127075], [0.3500900864601135, 0.6602778434753418, 0.38060253858566284, 0.6838184595108032]]
